公司代码,年份,词频
000533,2012,1
000533,2013,1
000533,2014,0
000533,2015,5
000533,2016,1
000533,2017,2
000533,2018,1
000533,2019,1
000534,2007,0
000534,2008,0
000534,2009,0
000534,2010,0
000534,2011,0
000534,2012,0
000534,2013,0
000534,2014,0
000534,2015,0
000534,2016,0
000534,2017,0
000534,2018,0
000534,2019,0
000536,2007,0
000536,2008,0
000536,2009,0
000536,2010,0
000536,2011,0
000536,2012,0
000536,2013,0
000536,2014,0
000536,2015,2
000536,2016,2
000536,2017,1
000536,2018,0
000536,2019,3
000537,2007,0
000537,2008,0
000537,2009,0
000537,2010,0
000537,2011,0
000537,2012,0
000537,2013,0
000537,2014,0
000537,2015,0
000537,2016,0
000537,2017,0
000537,2018,0
000537,2019,3
000538,2007,0
000538,2008,5
000538,2009,8
000538,2010,6
000538,2011,5
000538,2012,4
000538,2013,4
000538,2014,6
000538,2015,3
000538,2016,5
000538,2017,12
000538,2018,6
000538,2019,11
000539,2007,0
000539,2008,0
000539,2009,0
000539,2010,0
000539,2011,0
000539,2012,1
000539,2013,1
000539,2014,1
000539,2015,0
000539,2016,0
000539,2017,4
000539,2018,1
000539,2019,1
000540,2007,0
000540,2008,0
000540,2009,0
000540,2010,0
000540,2011,0
000540,2012,0
000540,2013,0
000540,2014,13
000540,2015,16
000540,2016,20
000540,2017,13
000540,2018,4
000540,2019,3
000541,2007,0
000541,2008,0
000541,2009,0
000541,2010,0
000541,2011,0
000541,2012,0
000541,2013,0
000541,2014,1
000541,2015,0
000541,2016,0
000541,2017,3
000541,2018,3
000541,2019,9
000543,2007,0
000543,2008,0
000543,2009,0
000543,2010,0
000543,2011,1
000543,2012,0
000543,2013,0
000543,2014,0
000543,2015,0
000543,2016,0
000543,2017,0
