公司代码,年份,词频
000333,2015,人工智能-2
000333,2015,语音识别-1
000333,2015,大数据-3
000333,2015,云计算-1
000333,2015,物联网-1
000333,2015,O2O-3
000333,2015,第三方支付-1
000333,2015,移动互联网-1
000333,2015,智能家居-5
000333,2016,人工智能-2
000333,2016,大数据-1
000333,2016,物联网-3
000333,2016,O2O-1
000333,2016,B2B-1
000333,2016,B2C-2
000333,2016,智能家居-3
000333,2017,人工智能-7
000333,2017,智能机器人-2
000333,2017,语音识别-1
000333,2017,大数据-11
000333,2017,云计算-2
000333,2017,物联网-9
000333,2017,工业互联网-6
000333,2017,B2C-1
000333,2017,智能家居-5
000333,2017,数字营销-1
000333,2018,人工智能-6
000333,2018,机器学习-1
000333,2018,人脸识别-1
000333,2018,语音识别-1
000333,2018,大数据-12
000333,2018,虚拟现实-1
